,VENDOR_IDENTIFIER,VENDOR_NUMBER,VENDOR_NAME,VENDOR_CITY,VENDOR_COUNTRY,VENDOR_ADDRESS
159,98859198,1738.0,511 FOODSERVICE__VAN,MURFREESBORO,US,2860 PORTLAND DRIVE
161,98859208,1748.0,PREMIER TECH HOME & GARDEN,WASHINGTON,US,1900 MINNESOTA COURT
162,98859211,1751.0,BCI FOODS INC,TEXAS,US,C/O CONCORD NATIONAL
163,98859217,1757.0,THE ORIGINAL CAKERIE LTD,CLEVELAND,US,1345 CLIVEDEN AVE
164,98859222,1762.0,NESTLE CANADA INC,BIRMINGHAM,US,9050 AIRPORT RD SUITE 101
165,98859231,1771.0,SHOAL LAKE WILD RICE LTD,MISSOURI,US,BOX 30 GRP 525 RR#5
167,98859235,1775.0,KRAFT HEINZ CANADA ULC,DETROIT,US,95 MOATFIELD DRIVE
168,98859237,1777.0,KROWN PRODUCE,TEXAS,US,1171- 8 ST. EAST
169,98859238,1778.0,SYNGENTA CROP PROTECTION CANADA INC,JERSEY CITY,US,140 RESEARCH LANE
170,98859241,1780.0,KROWN PRODUCE,TEXAS,US,1171- 8 ST. EAST
171,98859242,1781.0,CAVENDISH FARMS,HOUSTON,US,1551  WESTON ROAD
172,98859246,1785.0,KELLOGG CANADA INC,HOUSTON,US,PO BOX 15594
173,98859247,1786.0,PRO-WESTERN PLASTICS,DETROIT,US,30 RIEL DRIVE
174,98859249,1788.0,B.C. TREE FRUIT LTD,MONTGOMERY,US,1473 WATER STREET
175,98859252,1790.0,LOVE CHILD (BRANDS) INC.,HOUSTON,US,176 ST. GEORGE STREET FLOOR 1
176,98859253,1791.0,CLOROX CO OF CANADA,BIRMINGHAM,US,150 BISCAYNE CRESCENT
177,98859254,1792.0,NANA'S KITCHEN & HOT SAUCE LTD,KNOXVILLE,US,UNIT 12-8125 130 STREET
178,98859259,1797.0,THOMAS FRESH - WARM,FLORIDA,US,5460 76TH AVENUE S.E.
179,98859264,1800.0,CHURCH & DWIGHT LTD,WACO,US,655 SECRETARIAT COURT
180,98859266,1802.0,CHURCH & DWIGHT LTD,WACO,US,655 SECRETARIAT COURT
181,98859270,1806.0,CAPITAL PACKERS_INC,OHIO,US,12907-57 STREET
182,98859286,1820.0,LEAHY ORCHARDS INC,HOLLYWOOD,US,1772 ROUTE 209
183,98859287,1821.0, MCCORMICK CANADA INC,ROCKFORD,US,P.O. BOX 5788
184,98859290,1824.0,APEX TOOL CANADA LP,HOUSTON,US,P.O BOX 9224 STATION A
185,98859291,1825.0,HOMTRONIX (LINHAI RUIKE),INGLEWOOD,US,#711 ELECTRA BUILDING
186,98859295,1829.0,IPEX INC,MODESTO,US,1425 NORTH SERVICE ROAD EAST
187,98859301,1834.0,"HAIN-CELESTIAL CANADA, ULC",HOUSTON,US,"180 ATTWELL DRIVE, SUITE 410"
188,98859304,1837.0,BONDUELLE NORTH AMERICA,CLEVELAND,US,540 CHEMIN DES PATRIOTES
189,98859308,1840.0,RIGHTEOUS GELATO LTD.,FLORIDA,US,"UNIT 110, 221 19TH STREET NE"
190,98859312,1844.0,COGHLANS,MISSOURI,US,121 IRENE ST
191,98859315,1847.0,SHERWIN WILLIAMS (COOP BRANDED),HOUSTON,US,CONSUMER BRANDS GROUP
192,98859321,1852.0,MACGREGORS MEAT AND SEAFOOD LTD,HOUSTON,US,265 GARYRAY DRIVE
194,98859326,1857.0,AUDIOVOX CANADA LTD,HOUSTON,US,C/O TH1078
195,98859327,1858.0,G & L DISTRIBUTORS LTD,DETROIT,US,262 ATHABASCAN AVENUE
196,98859339,1869.0,DR. OETKER CANADA,TYLER,US,C/O DON KREZANSKI (ACOSTA)
197,98859344,1873.0,LEDVANCE LTD,TYLER,US,"5450 EXPLORER DRIVE, SUITE 100"
198,98859359,1887.0,COMBE INCORPORATED,JERSEY CITY,US,PINNACLE PHARMACEUTICS LTD
200,98859362,189.0,MAPLEHURST BAKERIES,HOUSTON,US,PO BOX 3525
201,98859368,1895.0,GOLD STANDARD SPECIALTY OILS,TEXAS,US,PO BOX 32026 ERINDALE
202,98859370,1897.0,UNFI,LOS ANGELES,US,153 12757 VULCAN WAY
203,98859375,1901.0,EVERFRESH INC,OHIO,US,3508-56
204,98859383,1909.0,TERRA BREADS BAKERY,INGLEWOOD,US,35 WEST 5TH AVENUE
207,98859394,1919.0,GARDENA CANADA LTD,MISSOURI,US,C/O DYMON SALES
209,98859408,1931.0,V I P SOAP PRODUCTS LTD,THORNTON,US,32859 MISSION WAY
210,98859413,1936.0,FRUIT D'OR INC,PATERSON,US,604 B ST LOUIS O
211,98859414,1937.0,HORMEL CANADA,FLORIDA,US,BROOKFIELD COLD STORAGE
212,98859416,1939.0,LILYDALE-SOFINA FOODS INC.,OHIO,US,7727-127 AVE
214,98859421,1944.0,CENTENNIAL FOODSERVICE,FLORIDA,US,CALGARY BRANCH
216,98859425,1948.0,"HAPPY PLANET FOODS, INC.",CARROLLTON,US,#601 - 4180 LOUGHEED HIGHWAY
218,98859430,1952.0,OLYMEL FOODSERIVCE,BILLINGS,US,1580 EIFFEL STREET
219,98859447,1968.0,C G C INC,WASHINGTON,US,350 BURNHAMTHORPE RD WEST 5TH FLOOR
220,98859450,1971.0,WHITEWAVE CANADA ULC,HOUSTON,US,"PO BOX 99221, STN A"
221,98859459,198.0,C.B. FREEZERS_(CANADA FIRST BRANDS),GREEN BAY,US,80 CARRYING PLACE
